#識別情報,名称,ログID,敵にはログを出力しない,キャストログID,ヒットログID,効果タイプ,職業効果タイプ,キャスティングタイム,クールタイム,マップIDによって変化,,納刀時使用不可,必要レベル,消費HP,消費MP,消費AP,消費AC,消費耐久度,消費アイテム1,アイテム個数,消費アイテム2,アイテム個数,消費アイテム3,アイテム個数,消費アイテム4,アイテム個数,キャストスクリプトID,発動スクリプトID,発動エフェクトID[1],発動エフェクトID[2],装備スクリプト変更,自身に効果範囲エフェクト表示,オブジェクト陣営,自動でコンボ,ヒットエフェクト2,スクリプトパラメータ[1],スクリプトパラメータ[2],スキャンタイプ,,,,,チップ表示用効果時間,,使用可能職業,,,,,,,,盾未装備時   使用不可,スキル使用時   装備不可,特性効果タイプ,タイミング最大タイム,タイミングイメージID,タイミングスクリプトID,状態異常効果　　タイプ,,,発動時対象に方向転換,
#SkillBaseID,,,,,,,,,,マップID,硬直時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（自動更新なので入力不要）,,FIGHTER,THIEF,MAGE,PRIEST,SAMURAI,NINJA,BISHOP,LORD,,,,,,,,CLOWN,ALCHEMIST,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,表示名,効果時間,,,,,,,,,,,,,,,,,,,
#7200個まで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,1,2,,,,,5,6,8,9,11,13,14,21,32,33,34,35,36,38,39,40,41,42,43,44,45,,,,,,,52,,,,,62,63,64,65,66,,,22,23,24,25,26,27,28,29,15,,7,,,,,30,31,,
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,
#攻撃(装備),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,距離,NONE,NONE,NONE,,,,,,,,,,,,,,,,,,,,,
180101101,飛幻刃,1,,,,PHYSIC,,0,18,20,,1,1,,,,,,,,,,,,,,,,1,4,0,1,ENEMY,0,,,,DIRECT,,,,,,,1,1,1,1,1,1,1,1,,1,ATTACK,0,0,0,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,距離,NONE,NONE,NONE,,,,,,,,,,,,,,,,,,,,,
180102101,焙烙玉,1,,,,PHYSIC,,2,90,,2,1,1,,,,,,,,,,,,,,17,17,1,0,0,1,ENEMY,0,0,,,DIRECT,,,,,,,1,1,1,1,1,1,1,1,,1,ATTACK,0,0,0,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,距離,NONE,NONE,NONE,,,,,,,,,,,,,,,,,,,,,
180103101,双龍矢,1,,,,PHYSIC,,0.5,15,,1.2,1,1,,,,,,20000601,2,,,,,,,30,30,2,0,0,1,ENEMY,0,,,,DIRECT,,,,,,,1,1,1,1,1,1,1,1,,1,ATTACK,0,0,0,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,距離,高さ,NONE,NONE,,,,,,,,,,,,,,,,,,,,,
180104101,アローレイン,1,,,,PHYSIC,,1.8,30,,2,1,1,,,,,,20000601,3,,,,,,,30,32,1,4,0,1,ENEMY,0,1,,,FREE,1000,1000,,,,,1,1,1,1,1,1,1,1,,1,ATTACK,,,0,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,距離,NONE,NONE,NONE,,,,,,,,,,,,,,,,,,,,,
180105101,連射弾,1,,,,PHYSIC,,0.5,15,,1.2,1,1,,,,,,20200102,2,,,,,,,31,31,2,0,0,1,ENEMY,0,,,,DIRECT,,,,,,,1,1,1,1,1,1,1,1,,1,ATTACK,0,0,0,,1,1,,
